
[2052-11-10 00:18:03.703] BLE disconnected. conn_hdl=0 reason=0x13
[2052-11-10 00:18:03.704] BLE advertising restarted.
[2052-11-10 00:00:01.051] BLE connected. conn_hdl=0 peers=1
[2052-11-10 00:00:01.051] [Settings] current: threshold=15.0 deg  debounce=200 ms  deadzone=5.0 deg
[2052-11-10 00:00:06.420] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.459] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.500] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.539] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.579] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.619] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.660] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.699] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.740] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.780] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.819] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.860] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.898] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.939] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.979] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.019] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.059] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.099] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.139] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.179] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.219] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.258] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.298] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.338] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.379] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.419] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.458] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.500] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.540] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.580] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.619] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.659] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.699] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.739] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.779] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.819] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.859] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.899] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.939] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:07.978] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.018] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.058] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.100] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.139] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.179] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.219] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.259] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.298] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.338] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.378] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.418] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.458] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.499] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.539] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.579] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.620] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.660] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.699] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.738] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.777] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.818] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.859] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.898] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.939] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:08.979] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.018] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.058] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.098] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.137] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.178] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.218] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.258] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.298] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.338] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.378] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.418] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.458] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:09.498] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.539] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.579] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.618] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.659] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.699] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.738] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.778] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.818] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.857] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.897] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.939] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:09.978] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.018] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
[2052-11-10 00:00:10.058] [Stability] class=1 rebase: roll=1.8  pitch=6.4  yaw=62.3
